tweetID,final_label1,hate_auto_label1,expliciteHateType1,hatecategory1,highlighted_terms1,highlighted_terms_label1,ImplicithateType1,Implicittaret1,rationale1,final_label2,hate_auto_label2,expliciteHateType2,hatecategory2,highlighted_terms2,highlighted_terms_label2,ImplicithateType2,Implicittaret2,rationale2,final_label3,hate_auto_label3,expliciteHateType3,hatecategory3,highlighted_terms3,highlighted_terms_label3,ImplicithateType3,Implicittaret3,rationale3,majority_label,majority_label_auto,auto_manual_agrees
871501825857515522,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
871035155015548928,1,1,NONE,GROUP:OTHER,a ;,GROUP:OTHER;,DEROGATORY LANGUAGE,other,,1,1,NONE,GROUP:RACE,Slander a darkskin woman;,GROUP:RACE;,INCITE VIOLENCE,Slander a darkskin woman,,0,0,NONE,NONE,,,NONE,NONE,,1,1,True
873369020954804224,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
875467246696574981,1,1,NONE,GROUP:GENDER,female bitch diva;,GROUP:GENDER;,DEROGATORY LANGUAGE,Women,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
873908047709704194,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,0,0,True
872625446357049344,1,1,NONE,GROUP:RACE,nigga trash;,GROUP:RACE;,INCITE VIOLENCE, nigga trash nigga trash,,1,1,NONE,GROUP:IDEOLOGY,;,GROUP:BODY;,DEROGATORY LANGUAGE,religion,,0,0,NONE,NONE,,,NONE,NONE,,1,1,True
871614807811780610,0,0,NONE,NONE,Arabs;,GROUP:RACE;,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
870471222449938434,0,0,NONE,NONE,,,NONE,NONE,,0,0,DEROGATORY LANGUAGE,NONE,FUCK;,DEROGATORY LANGUAGE;,NONE,INDIVIDUAL,,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,FUCK;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,other,,0,0,True
875430101923528704,1,1,DEROGATORY LANGUAGE,GROUP:RACE,russian bitch;pussy grabber;,GROUP:RACE;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,race,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
873684680058388480,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
875678719318339584,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
873247654544908288,1,1,NONE,GROUP:IDEOLOGY,that ;,GROUP:BODY;,DEROGATORY LANGUAGE,religion,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
871156341015838720,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:GENDER,bombed Bitch;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,individual,,0,0,True
874734237521457153,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
869702008063762432,0,0,NONE,NONE,,,NONE,NONE,,1,0,NONE,NONE,latinx girls fetishize black men;,GROUP:RACE;,NONE, latinx girls fetishize black men,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
875297041819119617,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
870233145383178240,0,0,NONE,NONE,,,NONE,NONE,,1,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
874956674053926912,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
871866566719275011,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,fucking idiot;dumb nation;,DEROGATORY LANGUAGE;GROUP:OTHER;,DEROGATORY LANGUAGE,people of the nation.,,0,0,True
874276785751339008,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,0,0,True
874848419084468225,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
875649308841852928,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:RELIGION,Bloody double;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,islam,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
874980648683008000,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:RELIGION,fucking cringe;Muslim;,DEROGATORY LANGUAGE;GROUP:RELIGION;,DEROGATORY LANGUAGE,NONE,,0,0,True
872420047066546177,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
871552149100023809,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:GENDER,FUCKING ;CRAZY;BITCH ;HILLARY;,DEROGATORY LANGUAGE;DEROGATORY LANGUAGE;DEROGATORY LANGUAGE;GROUP:GENDER;,DEROGATORY LANGUAGE,individual,,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,FUCKING CRAZY BITCH;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,Hillary,,1,1,True
871146954180317184,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
873845917492723712,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:IDEOLOGY,misogynist;fuck;,GROUP:IDEOLOGY;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,,0,0,True
871467537422311426,0,0,DEROGATORY LANGUAGE,NONE,fuck;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,INDIVIDUAL,,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,none,,0,0,True
871397693872099328,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
871034693629734912,1,1,DEROGATORY LANGUAGE,GROUP:IDEOLOGY,corrupt;democrat;,DEROGATORY LANGUAGE;GROUP:IDEOLOGY;,NONE,NONE,,0,0,NONE,GROUP:IDEOLOGY,establishment;democrat;,GROUP:IDEOLOGY;GROUP:IDEOLOGY;,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,0,0,True
871179942389837824,1,1,DEROGATORY LANGUAGE,GROUP:RACE,FETISHIZE;BLACK PEOPLE;,DEROGATORY LANGUAGE;GROUP:RACE;,DEROGATORY LANGUAGE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,BECAUSE ;,GROUP:GENDER;,NONE,none,,0,0,True
871514916267491328,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,fucking terrorist;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,other,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
873258626877710337,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,TRUE;,GROUP:GENDER;,NONE,none,,1,1,DEROGATORY LANGUAGE,GROUP:IDEOLOGY,lefties;narrow minded;,GROUP:IDEOLOGY;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,lefties,,0,0,True
874414040172314624,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:IDEOLOGY,feminists;bitch;,GROUP:IDEOLOGY;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,feminists,,0,0,NONE,GROUP:IDEOLOGY,feminists ;,GROUP:IDEOLOGY;,NONE,NONE,,0,0,True
876441164089507841,1,1,INCITE VIOLENCE,GROUP:RELIGION,Muslim;terrorist;founded by a Terrorist;,GROUP:RELIGION;INCITE VIOLENCE;INCITE VIOLENCE;,INCITE VIOLENCE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:RELIGION,Muslim;terrorist;,GROUP:RELIGION;DEROGATORY LANGUAGE;,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:RELIGION,terrorist;Islam was founded by a Terrorist;,DEROGATORY LANGUAGE;GROUP:RELIGION;,DEROGATORY LANGUAGE,islam and muslims,,1,1,True
872268615923494912,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
871459673106505729,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:IDEOLOGY,fascism;my fuck;corny as shit;,GROUP:IDEOLOGY;DEROGATORY LANGUAGE;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,Fascists,,0,0,True
873838837524549632,1,1,DEROGATORY LANGUAGE,GROUP:GENDER,racist;Lilly Singh;racist trolls;,DEROGATORY LANGUAGE;GROUP:GENDER;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,individual,,0,0,NONE,NONE,,,NONE,none,,1,1,NONE,GROUP:IDEOLOGY,to ;,GROUP:BODY;,DEROGATORY LANGUAGE,religion,,1,1,True
875306353190948865,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
871206693648171010,0,0,NONE,NONE,,,NONE,NONE,,1,1,NONE,GROUP:SEXUAL_ORIENTATION,keeps teasing you tryna lure you into her trap;,GROUP:SEXUAL_ORIENTATION;,DEROGATORY LANGUAGE,keeps teasing you tryna lure you into her trap,,1,1,NONE,GROUP:OTHER,you ;,GROUP:OTHER;,DEROGATORY LANGUAGE,other,,1,1,True
871398486587068416,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:RELIGION,terrorists;,DEROGATORY LANGUAGE;,INCITE VIOLENCE,Islam,,0,0,True
870869148670099457,1,0,NONE,GROUP:IDEOLOGY,Liberals grow some balls.;,GROUP:IDEOLOGY;,NONE,Liberals grow some balls.,,1,1,DEROGATORY LANGUAGE,GROUP:IDEOLOGY,Liberals;balls;pussies;,GROUP:IDEOLOGY;DEROGATORY LANGUAGE;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:IDEOLOGY,Liberals;pussies;,GROUP:IDEOLOGY;DEROGATORY LANGUAGE;,NONE,NONE,,1,1,True
876366073464971264,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
870495331305242626,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
870312929421172736,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
873118792976523265,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,Pussy;,GROUP:BODY;,DEROGATORY LANGUAGE,none,,0,0,True
874116303329648640,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:GENDER,racist ass;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,Individual,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
871397584828497921,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,INCITE VIOLENCE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
869932677998280704,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,0,0,NONE,GROUP:IDEOLOGY,liberal;,GROUP:IDEOLOGY;,NONE,NONE,,0,0,True
872888307579052034,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,1,1,DEROGATORY LANGUAGE,GROUP:RACE,russian;my ass;,GROUP:RACE;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,Russian,,0,0,True
871396964054646784,0,0,NONE,NONE,,,NONE,NONE,,1,1,NONE,GROUP:IDEOLOGY,tendencies &amp; atti;,GROUP:IDEOLOGY;,DEROGATORY LANGUAGE,tendencies & attitude,,0,0,NONE,NONE,,,NONE,none,,0,0,True
870004983613280256,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,,0,0,True
874332406425292802,0,0,NONE,NONE,,,NONE,NONE,,0,0,NONE,NONE,,,NONE,none,,1,1,DEROGATORY LANGUAGE,GROUP:SEXUAL_ORIENTATION,shit;homophobic;shit;transphobic;,DEROGATORY LANGUAGE;GROUP:SEXUAL_ORIENTATION;DEROGATORY LANGUAGE;GROUP:SEXUAL_ORIENTATION;,DEROGATORY LANGUAGE,NONE,,0,0,True
871167225251725312,1,1,DEROGATORY LANGUAGE,GROUP:RELIGION,Muslim;terrorist;,GROUP:RELIGION;DEROGATORY LANGUAGE;,NONE,NONE,,1,1,INCITE VIOLENCE,GROUP:RELIGION,MUSLIMS ARE #TERRORISTS;Muslim ;infidels ;,INCITE VIOLENCE;GROUP:RELIGION;GROUP:RELIGION;,INCITE VIOLENCE,group religion,,1,1,INCITE VIOLENCE,GROUP:RELIGION,MUSLIMS;TERRORISTS;Muslim;terrorist;,GROUP:RELIGION;INCITE VIOLENCE;GROUP:RELIGION;INCITE VIOLENCE;,INCITE VIOLENCE,NONE,,1,1,True
