tweetID,final_label1,hate_auto_label1,expliciteHateType1,hatecategory1,highlighted_terms1,highlighted_terms_label1,ImplicithateType1,Implicitcategory1,Implicittaret1,rationale1,final_label2,hate_auto_label2,expliciteHateType2,hatecategory2,highlighted_terms2,highlighted_terms_label2,ImplicithateType2,Implicitcategory2,Implicittaret2,rationale2,final_label3,hate_auto_label3,expliciteHateType3,hatecategory3,highlighted_terms3,highlighted_terms_label3,ImplicithateType3,Implicitcategory3,Implicittaret3,rationale3,majority_label,majority_label_auto,auto_manual_agrees
915995367610699777,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
1023274125387681792,1,0,DEROGATORY LANGUAGE,NONE,ur too buff to be fucking up ur hair with all this dye;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,Implied target,This tweet uses derogatory language against a singular implied target.,0,0,NONE,NONE,,,NONE,NONE,NONE,"not hateful, no group targeted",0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
1050808233772900354,0,0,DEROGATORY LANGUAGE,NONE,bitch;,DEROGATORY LANGUAGE;,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,none,"person is saying don't call queer men, not derogatory",1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,"bitch, that bitch;",DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:GENDER,individual,this tweet is hateful as it is in derogatory language,0,0,True
999332912322568194,0,0,NONE,NONE,,,NONE,NONE,NONE,"nothing hateful, normal tweet. Seems like its about Kpop",0,0,NONE,NONE,,,NONE,NONE,NONE,"not hateful, no group targeted",0,0,NONE,NONE,,,NONE,NONE,none,this twee doesn't have any hateful content. thank you,0,0,True
974679992989900800,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,none,"Despite the use of some profanity, no derogatory language nor slurs were used towards anyone or any group.",1,1,NONE,GROUP:GENDER,that \loose pussy\ joke is so corny like a 8 pound baby can be pushed out and it SNAPS RIGHT BACK what the fuck makes y'al…;,GROUP:GENDER;,INCITE VIOLENCE,GROUP:GENDER,individual,,0,0,True
964952290527535104,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful. Has foul language",0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,True
968356094035791877,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,DEROGATORY LANGUAGE,NONE,fucking;,DEROGATORY LANGUAGE;,NONE,NONE,none,,0,0,True
994626815137218560,0,0,NONE,NONE,,,NONE,NONE,None,Nothing hateful in the tweet,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,No derogatory language nor slurs were used towards anyone or any group.,0,0,True
984145572436365312,0,0,NONE,NONE,,,NONE,NONE,NONE,nothing hateful,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,never go blonde because i would look “absolutely atrocious;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:BODY,person,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
992092406953590784,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,TARGETED INDIVIDUAL,james gunn;,TARGETED INDIVIDUAL;,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,Someones dramatic about James Gunn. No hate speech.,0,0,True
987378047002308608,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,fuck out of his dick.;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,other,this tweet is hateful as it is in derogatory language,0,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,blonde;blow the fuck out;,TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,BLonde,,0,0,NONE,NONE,,,NONE,NONE,none,,0,1,False
